Timestamp,Група,Робота із Python,Робота із табличними даними,Платформа Google Colab/Kaggle ,"Лінійна регресія (least-squares, Ridge/Lasso)","kNN (nearest neighbors, метод найближчих сусідів)",Decision Trees - дерева рішень,SVM - метод опорних векторів,"Ансамблеві алгоритми (random forest, xgboost, lightgbm)",Нейронні мережі (deep learning),Оцінювання якості алгоритмів,Computer vision - комп'ютерний зір,"NLP - language processing, обробки мови і текстів","Очікування від курсу (що хотіли би вивчити, на яких темах поставити акцент)",Чи хотіли би ви брати участь у проектах по машинному навчанню в супутникових даних?
2023-09-05 10:31:47.961,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію завантажувати дані у pandas, користуватись ними як звичайним масивом",Стикаюсь вперше,Знаю постановку задачі та користуюсь класами із sklearn,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Користуюсь класами із sklearn/xgboost/lightgbm на базових параметрах,Стикаюсь вперше,Стикаюсь вперше,"Знайомий із OpenCV (можу завантажити зображення, відобразити його, конвертування кольорів тощо)","Можу працювати з текстами на рівні базової бібліотеки (входження, великі/малі літери, прості операції)",Покращити свої знаття),так
2023-09-05 14:14:52.686,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо",Стикаюсь вперше,Знаю постановку задачі та користуюсь класами із sklearn,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,"Знайомий із перцептроном, можу користуватись MLP із sklearn",Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами","Хочу розібратись в темі настільки, щоб я міг писати ШІ на будь-який випадок життя. ",поки не впевнений
2023-09-05 21:58:12.874,"ФФ-01, ФФ-03","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію завантажувати дані у pandas, користуватись ними як звичайним масивом","Користуюсь платформою, пишу код регулярно, вмію шукати датасети, беру участь в змаганнях (Kaggle)",Стикаюсь вперше,Орієнтуюсь в параметрах алгоритму та можу їх регулювати відповідно до задачі,"Розумію алгоритм, можу реалізувати ""from scratch""",Орієнтуюсь в параметрах алгоритму та можу їх регулювати відповідно до задачі,Користуюсь класами із sklearn/xgboost/lightgbm на базових параметрах,"Знайомий із фреймворками для DL (Pytorch, Tensorflow), можу користуватись навченими мережами","Розумію більш складні метрики Precision/Recall, ROC-AUC, можу регулювати поведінку алгоритму під різні типи помилок","Знайомий із OpenCV (можу завантажити зображення, відобразити його, конвертування кольорів тощо)","Знаю про підходи ""bag-of-words"", ""TF-IDF"", також регулярні вирази",Пробийте,так
2023-09-06 11:41:59.244,"ФІ-03, ФІ-04","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо","Користуюсь платформою, писав там код",Знаю постановку задачі та користуюсь класами із sklearn,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Стикаюсь вперше,"Знайомий із деякими метриками (наприклад, Accuracy для класифікації і MSE для задач регресії)","Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами",Цікавить технологія комп'ютерного зору,поки не впевнений
2023-09-06 11:46:24.546,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05",Писав лабки на Python на інших предметах,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами",Усе,ні
2023-09-06 11:47:06.580,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо","Користуюсь платформою, писав там код",Стикаюсь вперше,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Стикаюсь вперше,"Знайомий із деякими метриками (наприклад, Accuracy для класифікації і MSE для задач регресії)","Знайомий із OpenCV (можу завантажити зображення, відобразити його, конвертування кольорів тощо)","Можу працювати з текстами на рівні базової бібліотеки (входження, великі/малі літери, прості операції)","Хотів би поглибити свої знання у роботі з даними, їх обробкою, трохи більше розібратись з opencv ну і взагальному зачепити щось нове з програмування :)",поки не впевнений
2023-09-06 11:49:00.846,"ФІ-03, ФІ-04","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо","Користуюсь платформою, писав там код",Знаю постановку задачі та користуюсь класами із sklearn,Орієнтуюсь в параметрах алгоритму та можу їх регулювати відповідно до задачі,Стикаюсь вперше,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами",Поглибити знання у області машинного навчання,так
2023-09-06 11:49:39.966,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо",Стикаюсь вперше,Знаю постановку задачі та користуюсь класами із sklearn,Користуюсь класами із sklearn на базових параметрах,Орієнтуюсь в параметрах алгоритму та можу їх регулювати відповідно до задачі,Стикаюсь вперше,Користуюсь класами із sklearn/xgboost/lightgbm на базових параметрах,"Знайомий із фреймворками для DL (Pytorch, Tensorflow), можу користуватись навченими мережами",Стикаюсь вперше,Можу використовувати OpenCV і DL фреймворки в комбінації для розв'язання більш складних задач,"Можу працювати з текстами на рівні базової бібліотеки (входження, великі/малі літери, прості операції)","tensorflow, computer vision. Брав участь у проекті по машинному навчанню на супутникових даних (навчання моделі ідентифікувати об'єкти земної поверхні). Моєю мотивацією для обрання цього курсу було бажання дізнатися більше про машинне навчання та навчитися його інтеграції у контексті кібербезпеки та розвідки.",так
2023-09-06 11:50:38.825,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05",Писав лабки на Python на інших предметах,"Вмію завантажувати дані у pandas, користуватись ними як звичайним масивом","Користуюсь платформою, писав там код",Стикаюсь вперше,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами","Нейронні мережі, комп'ютерний зір, NLP",поки не впевнений
2023-09-06 13:27:12.458,"ФІ-01, ФІ-02","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо","Користуюсь платформою, писав там код",Знаю постановку задачі та користуюсь класами із sklearn,"Розумію алгоритм, можу реалізувати ""from scratch""",Орієнтуюсь в параметрах алгоритму та можу їх регулювати відповідно до задачі,Орієнтуюсь в параметрах алгоритму та можу їх регулювати відповідно до задачі,Орієнтуюсь в параметрах алгоритму та можу їх регулювати відповідно до задачі,"Знайомий із фреймворками для DL (Pytorch, Tensorflow), можу користуватись навченими мережами","Розумію більш складні метрики Precision/Recall, ROC-AUC, можу регулювати поведінку алгоритму під різні типи помилок","Знайомий із OpenCV (можу завантажити зображення, відобразити його, конвертування кольорів тощо)","Знаю про підходи ""bag-of-words"", ""TF-IDF"", також регулярні вирази","хотів би добре вивчити NLP, так як ця тема цікавить мене найбільше",поки не впевнений
